constructed_group_id,regime,size,members,anchors,n_examples,n_train,n_val,n_test,heterogeneity
est_002114,established,5,32|294|393|1114|1277,294|393,2,1,1,0,0.4002
est_002115,established,2,294|1629,294|1629,2,1,1,0,0.8002
est_002116,established,3,294|960|1114,294|960,2,1,0,1,0.4311
est_002117,established,2,295|609,295,2,2,0,0,0.1799
est_002118,established,2,242|296,296,2,2,0,0,0.7489
est_002119,established,2,300|492,300,2,2,0,0,0.0911
est_002120,established,2,60|300,60|300,2,1,0,1,0.2284
est_002121,established,2,300|354,300|354,2,1,0,1,0.3
est_002122,established,5,263|300|383|603|761,300|603,2,1,0,1,0.2642
est_002123,established,3,8|251|300,8|300,2,1,1,0,0.1492
est_002124,established,2,263|300,300,2,1,0,1,0.2702
est_002125,established,2,251|300,300,2,1,0,1,0.139
est_002126,established,4,301|685|783|1303,301|783,2,2,0,0,0.3075
est_002127,established,2,302|989,302,2,2,0,0,0.0592
est_002128,established,2,302|680,302|680,2,2,0,0,0.0931
est_002129,established,2,305|335,305,2,1,1,0,0.8259
est_002130,established,3,305|745|1502,305,2,1,0,1,0.707
est_002131,established,2,306|1075,306,2,1,0,1,0.2206
est_002132,established,3,306|644|1605,306|1605,2,2,0,0,0.3436
est_002133,established,2,307|775,307|775,2,2,0,0,0.6243
est_002134,established,2,307|460,307,2,1,0,1,0.501
est_002135,established,2,107|308,308,2,2,0,0,0.5451
est_002136,established,2,310|701,310|701,2,2,0,0,0.7515
est_002137,established,3,310|331|1004,310,2,1,0,1,0.225
est_002138,established,2,115|310,310,2,2,0,0,0.6994
est_002139,established,4,310|627|1088|1381,310,2,1,1,0,0.118
est_002140,established,4,308|310|393|1114,310|393,2,1,1,0,0.3003
est_002141,established,4,310|607|751|1088,310|1088,2,1,0,1,0.2604
est_002142,established,2,310|367,310|367,2,1,0,1,0.0355
est_002143,established,2,310|993,310,2,1,1,0,0.6733
est_002144,established,4,241|310|413|957,241|310,2,1,1,0,0.2365
est_002145,established,3,310|1164|1517,310|1164,2,2,0,0,0.6014
est_002146,established,4,241|310|393|1114,310|393,2,2,0,0,0.3282
est_002147,established,2,241|310,241|310,2,1,0,1,0.1921
est_002148,established,4,89|310|331|453,310,2,1,0,1,0.1399
est_002149,established,2,310|627,310,2,1,0,1,0.0698
est_002150,established,2,310|1381,310,2,1,1,0,0.0218
est_002151,established,2,311|1502,311|1502,2,2,0,0,0.8849
est_002152,established,2,281|316,316,2,1,1,0,0.4858
est_002153,established,2,316|663,316,2,1,1,0,0.1622
est_002154,established,2,316|1277,316|1277,2,2,0,0,0.2389
est_002155,established,2,316|1288,316|1288,2,2,0,0,0.4921
est_002156,established,2,316|762,316,2,1,1,0,0.1324
est_002157,established,5,316|950|1002|1277|1580,316|1580,2,2,0,0,0.4112
est_002158,established,2,269|317,317,2,2,0,0,0.4453
est_002159,established,2,317|1031,317,2,1,0,1,0.2974
est_002160,established,4,317|368|650|1273,317,2,1,1,0,0.3092
est_002161,established,3,317|484|586,317,2,2,0,0,0.3206
est_002162,established,4,318|424|441|1238,318|441,2,2,0,0,0.3159
est_002163,established,3,318|362|1108,318|1108,2,2,0,0,0.1598
est_002164,established,2,319|630,319,2,2,0,0,0.2606
est_002165,established,2,319|464,319,2,2,0,0,0.1589
est_002166,established,2,320|684,320,2,2,0,0,0.1225
est_002167,established,3,320|684|1079,320|684,2,1,0,1,0.1789
est_002168,established,2,326|1038,326,2,2,0,0,0.1587
est_002169,established,2,326|1459,326,2,1,1,0,0.863
est_002170,established,2,328|809,328|809,2,1,1,0,0.4776
est_002171,established,2,329|1140,329|1140,2,1,1,0,0.9133
est_002172,established,2,252|329,329,2,2,0,0,0.4673
est_002173,established,2,330|794,330,2,2,0,0,0.6406
est_002174,established,2,330|844,330|844,2,2,0,0,0.3249
est_002175,established,4,330|627|852|1088,330,2,1,0,1,0.2604
est_002176,established,2,330|428,330|428,2,1,0,1,0.9219
est_002177,established,5,330|627|794|852|1088,330|852,2,2,0,0,0.2973
est_002178,established,5,148|331|1016|1128|1277,331|1016,2,2,0,0,0.4433
est_002179,established,2,186|332,332,2,1,1,0,0.5456
est_002180,established,2,333|597,333|597,2,2,0,0,0.7682
est_002181,established,2,183|333,183|333,2,1,0,1,0.1655
est_002182,established,2,333|889,333|889,2,1,0,1,0.2737
est_002183,established,2,333|663,333|663,2,2,0,0,0.2579
est_002184,established,3,333|424|1246,333|1246,2,2,0,0,0.421
est_002185,established,2,334|989,334,2,2,0,0,0.2654
est_002186,established,5,32|338|781|1277|1292,338|781,2,2,0,0,0.3716
est_002187,established,3,338|729|948,338,2,1,0,1,0.2902
est_002188,established,3,255|342|473,342,2,1,0,1,0.2494
est_002189,established,3,342|473|880,342|880,2,2,0,0,0.391
est_002190,established,3,342|473|689,342,2,2,0,0,0.2385
est_002191,established,2,342|413,342|413,2,2,0,0,0.4133
est_002192,established,5,278|342|413|473|689,342|689,2,1,0,1,0.2514
est_002193,established,3,342|413|626,342|626,2,2,0,0,0.4332
est_002194,established,4,38|278|342|473,38|342,2,1,0,1,0.4254
est_002195,established,3,38|278|342,38|342,2,1,0,1,0.4481
est_002196,established,2,22|343,343,2,1,1,0,0.3564
est_002197,established,4,179|293|343|1131,343|1131,2,1,1,0,0.5102
est_002198,established,5,22|47|343|794|1088,343|794,2,2,0,0,0.3046
est_002199,established,2,343|751,343|751,2,2,0,0,0.4699
est_002200,established,2,344|955,344,2,2,0,0,0.685
est_002201,established,2,344|879,344,2,1,0,1,0.4601
est_002202,established,5,272|344|613|908|1327,344|908,2,2,0,0,0.3342
est_002203,established,2,344|1399,344,2,2,0,0,0.6171
est_002204,established,2,344|1004,344,2,1,0,1,0.4578
est_002205,established,2,344|613,344,2,2,0,0,0.5586
est_002206,established,3,344|828|879,344,2,1,0,1,0.3238
est_002207,established,3,344|1004|1327,344,2,1,0,1,0.3048
est_002208,established,2,345|1206,345,2,2,0,0,0.505
est_002209,established,2,60|347,347,2,1,0,1,0.6696
est_002210,established,2,347|532,347|532,2,1,0,1,0.4597
est_002211,established,2,206|348,348,2,2,0,0,0.9139
est_002212,established,3,0|350|1283,350|1283,2,1,0,1,0.5364
est_002213,established,2,351|426,351,2,2,0,0,0.2341
est_002214,established,2,351|1232,351,2,1,1,0,0.3284
est_002215,established,3,351|891|1129,351|1129,2,2,0,0,0.7115
est_002216,established,3,351|659|1653,351|659,2,1,1,0,0.0644
est_002217,established,3,351|438|537,351|537,2,2,0,0,0.2819
est_002218,established,4,24|351|537|601,24|351,2,1,1,0,0.3417
est_002219,established,2,351|1185,351|1185,2,2,0,0,0.3643
est_002220,established,2,354|476,354|476,2,2,0,0,0.3192
est_002221,established,2,354|686,354|686,2,1,0,1,0.3262
est_002222,established,2,354|684,354|684,2,1,1,0,0.3625
est_002223,established,2,355|1520,355,2,2,0,0,0.3319
est_002224,established,2,356|1154,356,2,1,0,1,0.7048
est_002225,established,2,359|492,359|492,2,2,0,0,0.424
est_002226,established,3,39|359|1499,359,2,2,0,0,0.315
est_002227,established,5,227|257|359|1121|1279,359|1121,2,2,0,0,0.199
est_002228,established,2,362|458,362|458,2,1,0,1,0.2122
est_002229,established,2,363|1262,363,2,2,0,0,0.3276
est_002230,established,2,364|413,364,2,2,0,0,0.5783
est_002231,established,3,309|367|957,367,2,2,0,0,0.2256
est_002232,established,2,367|1338,367,2,2,0,0,0.0566
est_002233,established,2,367|1145,367|1145,2,1,0,1,0.3527
est_002234,established,5,367|413|828|957|1338,367|957,2,1,1,0,0.2334
est_002235,established,5,310|319|367|413|1381,367,2,2,0,0,0.1951
est_002236,established,4,367|413|852|1338,367,2,1,0,1,0.1494
est_002237,established,3,367|413|1381,367,2,1,0,1,0.1265
est_002238,established,4,319|367|413|725,367,2,1,0,1,0.1038
est_002239,established,5,223|367|413|957|1338,367,2,1,1,0,0.1144
est_002240,established,2,368|1609,368,2,2,0,0,0.5322
est_002241,established,3,333|368|1143,368|1143,2,2,0,0,0.3922
est_002242,established,2,369|993,369,2,2,0,0,0.763
est_002243,established,2,370|606,370|606,2,2,0,0,0.6844
est_002244,established,2,370|417,370,2,1,0,1,0.6235
est_002245,established,3,370|417|606,370,2,1,0,1,0.5257
est_002246,established,2,371|780,371|780,2,1,0,1,0.7109
est_002247,established,5,372|492|769|1101|1425,372,2,2,0,0,0.0924
est_002248,established,2,372|993,372|993,2,2,0,0,0.8382
